                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3738,                 3.2159,                 3.1964,                0.33186,                0.72176,                0.48134,                0.26746,                 1.4583,                 1.6991,                 2.1109,             0.00047517,             0.00047517,             0.00047517
                      2,                 1.4594,                 1.7096,                 2.0116,                 0.3909,                0.70035,                0.61174,                0.38261,                 1.3201,                 1.6053,                 1.8816,             0.00091383,             0.00091383,             0.00091383
                      3,                 1.1805,                 1.3171,                 1.7028,                0.41932,                0.62695,                0.56762,                0.41952,                 1.0374,                  1.454,                 1.5661,              0.0013148,              0.0013148,              0.0013148
                      4,                 1.0519,                  1.148,                 1.5701,                 0.6028,                 0.6496,                 0.7225,                0.50749,                 1.1005,                 1.2057,                 1.6395,              0.0012592,              0.0012592,              0.0012592
                      5,                0.95747,                 1.0078,                  1.476,                0.77185,                0.80438,                0.87574,                0.65013,                 0.9485,                0.93397,                 1.5392,              0.0012026,              0.0012026,              0.0012026
                      6,                0.90229,                0.90291,                 1.4212,                0.81578,                0.82576,                0.88482,                 0.6305,                0.99396,                0.86826,                 1.5238,              0.0011461,              0.0011461,              0.0011461
                      7,                0.86189,                 0.8306,                 1.3796,                0.81904,                0.83979,                 0.9133,                0.70655,                0.84795,                0.74065,                 1.4307,              0.0010895,              0.0010895,              0.0010895
                      8,                0.81386,                0.76513,                  1.329,                0.81619,                0.86536,                0.91433,                0.66361,                0.96665,                0.76885,                 1.5371,              0.0010329,              0.0010329,              0.0010329
                      9,                0.78493,                  0.716,                 1.3082,                0.87713,                0.86321,                0.93904,                0.72332,                0.86213,                0.66659,                 1.4318,             0.00097629,             0.00097629,             0.00097629
                     10,                0.75057,                0.68326,                 1.2706,                0.69941,                0.81871,                0.90332,                0.69334,                0.84937,                 1.0489,                 1.3949,              0.0009197,              0.0009197,              0.0009197
                     11,                0.72958,                 0.6461,                 1.2526,                0.85887,                0.89337,                0.94243,                0.70661,                0.87448,                 0.6788,                 1.4601,             0.00086312,             0.00086312,             0.00086312
                     12,                0.70657,                0.63595,                 1.2353,                0.86736,                0.90169,                0.93649,                0.72669,                0.82607,                0.61412,                 1.4482,             0.00080653,             0.00080653,             0.00080653
                     13,                0.69407,                0.61329,                 1.2255,                0.88247,                0.89437,                0.94494,                0.73665,                0.81922,                0.61536,                 1.3873,             0.00074994,             0.00074994,             0.00074994
                     14,                0.67932,                0.59632,                 1.2087,                0.88782,                0.84123,                0.93647,                0.72444,                0.84496,                0.68123,                 1.5036,             0.00069335,             0.00069335,             0.00069335
                     15,                0.66455,                0.57557,                 1.1909,                0.90493,                0.89801,                0.95717,                0.72957,                0.84968,                0.58745,                 1.4015,             0.00063676,             0.00063676,             0.00063676
                     16,                0.52974,                0.41576,                 1.0633,                0.89397,                0.84601,                0.94184,                0.72204,                0.87074,                0.70338,                 1.4225,             0.00058017,             0.00058017,             0.00058017
                     17,                0.51615,                0.40031,                 1.0534,                0.91619,                0.88752,                0.96082,                0.76562,                 0.7632,                0.57595,                 1.3464,             0.00052359,             0.00052359,             0.00052359
                     18,                0.49243,                0.37784,                 1.0326,                0.90018,                0.89787,                  0.956,                0.74799,                0.80074,                0.57571,                  1.393,               0.000467,               0.000467,               0.000467
                     19,                0.48318,                0.36542,                 1.0194,                0.89903,                0.88237,                 0.9514,                 0.7334,                0.84388,                0.62805,                 1.5119,             0.00041041,             0.00041041,             0.00041041
                     20,                0.47715,                 0.3524,                 1.0155,                0.88739,                0.87826,                0.94862,                0.73318,                0.82208,                0.60989,                 1.4542,             0.00035382,             0.00035382,             0.00035382
                     21,                0.46165,                0.34357,                  1.005,                 0.8897,                0.87352,                0.95457,                0.75204,                0.78127,                0.60131,                 1.3739,             0.00029723,             0.00029723,             0.00029723
                     22,                0.45199,                0.32907,                0.99766,                0.88952,                 0.8869,                0.95552,                 0.7454,                0.80035,                0.59939,                 1.4084,             0.00024064,             0.00024064,             0.00024064
                     23,                0.43727,                0.32111,                0.98704,                0.83821,                 0.8933,                0.94596,                0.74809,                0.79128,                0.66091,                 1.4481,             0.00018406,             0.00018406,             0.00018406
                     24,                0.42944,                0.30835,                0.97501,                0.90836,                0.88317,                0.95835,                0.75044,                0.80262,                0.58142,                 1.4506,             0.00012747,             0.00012747,             0.00012747
                     25,                0.42153,                0.30023,                0.97349,                0.88588,                0.90575,                0.95948,                0.74862,                0.78638,                0.58309,                 1.4193,             7.0878e-05,             7.0878e-05,             7.0878e-05
